Name,Symbol,ISIN,Index,Last Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
ABRA,ABRA,IL0011016669,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon",311.9,-0.06,32.55,16:18
ACCEL,ACCL,IL0007700169,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite",68,1.8,29.24,15:44
ACKERSTEIN GRP.,ACKR,IL0011762056,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials, TA-Family, TA-125 Fossil Free",483.9,-0.06,273.61,16:55
ACRO KVUT,ACRO,IL0011849028,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction, TA-125 Fossil Free",4250,-0.93,2082.05,16:59
ADGAR INV.,ADGR,IL0018200837,"TA-SME60, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",521.5,-0.32,109.39,16:33
AERODROME GROUP,ARDM,IL0003630105,,62,-4.17,1245.45,16:52
AFCON HOLD,AFHL,IL0005780130,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",10100,-0.59,12.22,16:20
AFI PROPERTIES,AFPR,IL0010913544,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Investment Properties Abroad",17080,-0.93,874.56,16:59
AFRICA RESIDENC,AFRE,IL0010979487,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction, TA-125 Fossil Free",20320,-0.73,1847.06,16:55
AI SYSTEMS-M,AICS-M,IL0001690119,,105,,,
AIRPORT CITY,ARPT,IL0010958358,"TA-35, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel, TA-125 Fossil Free",6471,0.02,5401.39,16:59
AIRTOUCH,ARTS,IL0011733768,,40.9,-3.99,3.7,16:33
ALARUM,ALAR,IL0010838568,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Dual listing",310,3.68,3543.03,16:57
ALBAAD,ALBA,IL0006250125,"TA-Maala Index, TA-Growth, TA-AllShare, TA-Industrials",1253,0.97,671.35,16:14
ALLMED SOLUTION,ALMD,IL0011014508,,38.9,5.42,8.58,16:10
ALLOT,ALLT,IL0010996549,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-Dual listing",596,-2.58,32.63,16:49
ALMEDA      PU,AMDA,IL0011689622,,207.6,3.8,2.14,12:00
ALMOGIM,ALMA,IL0011368292,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Construction",710,1.05,540.45,16:12
ALONY HETZ,ALHE,IL0003900136,"TA-90, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel, TA-125 Fossil Free",3090,-2.8,10142.81,16:59
ALROV PROPERT,ALRPR,IL0003870198,,13520,0.52,178.17,15:34
ALTSHULER FIN,ALTF,IL0011849366,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA-125 Fossil Free",544.5,0.33,1508.12,16:55
ALUMA INFRASTR',ALUMA,IL0011816431,,34.1,1.19,46.45,16:20
AMANET,AMAN,IL0006540129,"TA-Growth, TA-AllShare",1738,0.7,18.51,16:06
AMIAD,AMD,IL0010943905,"TA-Growth, TA-AllShare, TA-Industrials",1035,,,
AMIR MARK.,AMRK,IL0010922040,"TA-Growth, TA-AllShare, TA-Rimon",2025,-0.1,8.88,15:09
AMOT,AMOT,IL0010972789,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel, TA-125 Fossil Free",1990,-2.45,7087.81,16:59
ANALYST,ANLT,IL0010806136,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus, TA-Rimon",3327,,30,14:38
ANGEL SALOMON,ANGL,IL0001800189,"TA-Growth, TA-AllShare, TA-Industrials",4021,2,6.01,16:41
APOLLO POWER,APLP,IL0010821143,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-Energy Utilities, TA-Cleantech",660.2,-7.61,2200.18,16:59
AQUARIUS EN,AQUA,IL0011702409,,133.4,2.3,986.07,16:49
ARAD,ARD,IL0010916513,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-125 Fossil Free",5810,-0.41,313.32,16:52
ARAD INVESTMENT,ARAD,IL0007310183,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-125 Fossil Free",46880,-2.58,1248.04,16:55
ARAN,ARAN,IL0010852650,"TA-Growth, TA-AllShare",2229,,,
ARGO PROP.,ARGO,NL0015000D84,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",7126,-0.34,5801.03,16:59
ARI RAEL ESTATE,ARIN,IL0003660136,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Investment Properties in Israel",256,-1.01,20.28,15:59
ARYT,ARYT,IL0005870147,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-Industrials",410,-3.71,3088.28,16:59
ASHDOD REFINERY,ARF,IL0011989105,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",8775,-1.29,2786.82,16:57
ASHOT,ASHO,IL0003120172,"TA-Growth, TA-AllShare, TA-Rimon, TA-Industrials",2778,0.36,956.34,16:33
ASHTROM GROUP,ASHG,IL0011323156,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Family, TA-Construction, TA-125 Fossil Free",5903,-2.83,5729.23,16:59
ASPEN GROUP,ASGR,IL0003130155,"TA-SME60, TA-RealEstate, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",705,-0.21,109.89,16:46
ATREYU CAP,ATRY,IL0010961063,"TA-SME60, TA-Finance Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150",5320,,1705.04,16:58
AUDIOCODES,AUDC,IL0010829658,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-125 Fossil Free, TA-Dual listing",4328,-2.39,1745.9,16:59
AUGWIND,AUGN,IL0011059073,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Energy Utilities, TA-Cleantech",261.5,2.03,1045.91,16:53
AURA,AURA,IL0003730194,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction, TA-125 Fossil Free",1092,-2.06,2614.51,16:57
AURA SMART,AUSA,IL0011766198,,12.4,,,
AUSTRALIA ISR,AUIS,IL0010805229,,957.9,5.67,5.7,16:44
AUTO BANK SERV,SHVA,IL0011581613,"TA-SME60, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150",1565,-1.14,310.99,16:45
AUTOMAX,AMX,IL0011316978,,36.5,-3.18,8.85,16:39
AVERBUCH,AVER,IL0006750173,"TA-Growth, TA-AllShare, TA-Rimon",1504,0.07,102.37,16:25
AVGAD,AVGD,IL0011718181,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",1067,-3.09,673.8,16:36
AVGOL,AVGL,IL0011009573,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",161.5,0.19,45.79,16:30
AVIATION LINKS,AVIA,IL0004130139,,1054,,18.27,14:52
AVIV,AVIV,IL0004440181,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",1418,-0.07,27.31,13:11
AVROT,AVRT,IL0002970106,,52,,,
AXILION,AILN,IL0003830184,,78.9,-3.07,193.06,16:14
AYALON  HOLD.,AYAL,IL0002090152,"TA-Finance Index, TA-Maala Index, TA-Growth, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-Insurance",1678,-0.89,19.93,16:25
AZORIM,AZRM,IL0007150118,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction, TA-125 Fossil Free",1579,-1.19,8192.45,16:53
